This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
88b67dcac4fe65c19647bc69f2ed4228ad1a9ae0f761e7588176906c67562182 28 24 24146 3167
5732534565e5cc9234dcacf3415dc042bf47dff98b190c1ba661096df6da60b3 2 0 0 0
f0bc732ed8519fa229f3042b6b16b050b01a1816f5b348d902f84cd274c0a16e 116 29 5 2
ff6babf962c038d8ae6ffea23c5c1cf9b73690fc8dbe445467e2f167b3402f62 56 6 20913 19
73e5bcdf06530cfdbc076fd659720a3ca456b016b618d25db075d8d02b599d80 0 0 0 0
db99ee80e3ce1183d281bf87f4d43a9f2763faf7dd8e9445fc108f2532507e58 104 50 37295 1402
5cb2062bf786c3f5275ecc668f464512b683475dacfb6de571b6a28c121d08c3 111 57 45174 3518
47bc6c32cbc62290341227ba1587260628f3d3cdaba1e441e1e8c2868d6b12d3 265 265 844800 775351
4cce0d3a154db13f61221ed286aa9022f57d8a05d61d96686db09db751948307 1 1 0 0
67aca5cf034ac0326fee63342b521d7a237809d259d2d6ffc9439745ee87e0b8 26 6 23963 6010
fb6b193533adb8cab38a5eec20c19c078de83026c317d07def0428cffee86998 107 53 37353 1642
5f7ef825d9fa978f6909365158f1a789622c36629425d3a91304e0bd318b3c07 8 4 25402 2537
fd5b28375b5978a2c61dce930069a21696e181ae058f693ac60de82536b7260e 9 1 17 4
bb1af6245e4c84f8c75681bd25c28d542e24d19f46d202acc716cef2028cee6c 38 38 65457 30664
253622a24a6a18f58e44ae94181b171b06b8644aa3a30a53ce6a8481f8e81d18 10 10 9379 722
a489ea829c27f84c1dc3efc5343f9c04c4e28496f035465445181e532451fd47 58 58 37977 10866
bfbcc0ab3174794e87527f50935984f0a06995b5580415e7db3554c2b8dde0d4 1 1 50645 0
9057d96ed471ca33fee8d7582b4da24ab8ebf64fc57262edc17989e966040a89 1 1 21 0
34f9251d080e58d8a91a212ab36ae10ecc96be7482bc0a3b727ed99079762543 4 4 27 14
3f5694d0f31d27885a555de42c80d522024588ad5ca9a9a93a3f63c6a7a127a6 42 42 35527 9565
86795b9988b4ed03ebc470da7592d43487ce95706234781827915cb6db2efd31 15 15 14668 6085
66d01ef0e86b474008f00808b991035ea8c55863582a7f9213567fbd346802d5 12 12 3842 13
b24e4353c6e5449822f0aac3a46782483c4dee399584e4ffde0a0cd68f424515 21 21 11512 3
786089f3ea88ad1c382814bdb972fcb03b1c8862ac4bf9afea97d1e26bc896a9 18 18 4733 0
4f6b63104b6c300c7aa237c0cd02f7e373668655f7f3c27870d4fc277d1c2a32 2 2 1291166 0
24c73412c8b7d79df3f8de82e7c3f414786216958c0bfdaa9b8d937969d63d9b 7 7 239607 3357
4b89afc7a2d079deb25863b6e4806eb06ca4e33bcf53893b96db45ea90ec8549 5 5 93535 1
b760b4ccd4853a090eaf973444a5d1b5931e55affbcf7d1903cb8f2c56c169cc 108 16 1191 44
